Price,Built_Year,Apt_Type,Heating,Cooling,Parking,Address,Bedrooms,Bath_Spaces,Area,Zestimate,zip_code,city
1450000,2007,Single Family,None,Central,2 spaces,"3509 Sleeping Meadow Way,  San Ramon, CA 94582",5,5.0,3541,1417556,94582,San Ramon
1770000,2005,Single Family,Forced air,Central,2 spaces,"301 Violetta Ct,  San Ramon, CA 94582",5,3.0,4509,1770110,94582,San Ramon
999000,1968,Single Family,Forced air,Central,2 spaces,"258 Dexter Pl,  San Ramon, CA 94583",4,3.0,2053,1041911,94583,San Ramon
1399000,1976,Miscellaneous,Other,Central,3 spaces,"441 Barranca Ct,  San Ramon, CA 94583",4,3.0,2655,1548241,94583,San Ramon
899000,1979,Single Family,Forced air,Central,2 spaces,"99 Monasterio Ct,  San Ramon, CA 94583",4,2.0,1713,927084,94583,San Ramon
420000,1989,Condo,Forced air,Central,1 space,"450 Bollinger Canyon Ln APT 290,  San Ramon, CA 94582",1,1.0,657,426928,94582,San Ramon
800000,2014,Single Family,Forced air,Other,2 spaces,"2013 Tarragon Rose Ct,  San Ramon, CA 94582",2,3.0,1265,825902,94582,San Ramon
360000,1971,Condo,None,Other,1 space,"8975 Alcosta Blvd APT 101,  San Ramon, CA 94583",1,1.0,722,369912,94583,San Ramon
1699995,2020,Single Family,Forced air,Central,2 spaces,"65 Woodshore Ct,  San Ramon, CA 94582",4,5.0,3161,1700001,94582,San Ramon
1507860,2020,Single Family,Forced air,Central,2 spaces,"860 Bergamot Ct,  San Ramon, CA 94583",4,5.0,3325,1507867,94583,San Ramon
1199000,1995,Single Family,Forced air,Central,2 spaces,"776 Bridge Creek Dr,  San Ramon, CA 94582",5,3.0,2336,1133099,94582,San Ramon
1546000,2020,Single Family,Forced air,Central,2 spaces,"832 Bergamot Ct,  San Ramon, CA 94583",4,4.0,3737,1546007,94583,San Ramon
878000,1991,Single Family,Forced air,Central,2 spaces,"332 Winterwind Cir,  San Ramon, CA 94583",3,3.0,1651,902653,94583,San Ramon
1393995,2020,Single Family,Forced air,Central,2 spaces,"744 Roseum Ct,  San Ramon, CA 94583",4,4.0,2679,1250192,94583,San Ramon
1148000,1962,Single Family,Forced air,Central,2 spaces,"148 Metairie Pl,  San Ramon, CA 94583",4,3.0,2088,1200329,94583,San Ramon
